Dependee Register,Dependent Register,Input Line,Matched Line,Match Type
TIDV,TIDV,"Writing this register with FPD set initiates an immediate expiration of the timer, causing a write back of any consumed transmit descriptors pending write back, and results in a transmit timer interrupt in the ICR.",NOT FOUND,none
TXDCTL,TXDCTL,PTHRESH = 0..3 (for 16 descriptors cacheline - 256 bytes),"Possible values:
GRAN = 1 (descriptor granularity):
PTHRESH = 0..31
WTHRESH = 0..31
HTHRESH = 0..31
GRAN = 0 (cacheline granularity):
PTHRESH = 0..3 (for 16 descriptors cacheline - 256 bytes)
WTHRESH = 0..3
HTHRESH = 0..4
Note: For any WTHRESH value other than 0 - The packet and absolute timers must get a non
zero value for the WTHRESH feature to take affect.",partial
TXDCTL,TXDCTL,WTHRESH = 0..3,"Possible values:
GRAN = 1 (descriptor granularity):
PTHRESH = 0..31
WTHRESH = 0..31
HTHRESH = 0..31
GRAN = 0 (cacheline granularity):
PTHRESH = 0..3 (for 16 descriptors cacheline - 256 bytes)
WTHRESH = 0..3
HTHRESH = 0..4
Note: For any WTHRESH value other than 0 - The packet and absolute timers must get a non
zero value for the WTHRESH feature to take affect.",partial
TXDCTL,TXDCTL,HTHRESH = 0..4,"Possible values:
GRAN = 1 (descriptor granularity):
PTHRESH = 0..31
WTHRESH = 0..31
HTHRESH = 0..31
GRAN = 0 (cacheline granularity):
PTHRESH = 0..3 (for 16 descriptors cacheline - 256 bytes)
WTHRESH = 0..3
HTHRESH = 0..4
Note: For any WTHRESH value other than 0 - The packet and absolute timers must get a non
zero value for the WTHRESH feature to take affect.",partial
TXDCTL,TXDCTL,PTHRESH = 0..31,"Possible values:
GRAN = 1 (descriptor granularity):
PTHRESH = 0..31
WTHRESH = 0..31
HTHRESH = 0..31
GRAN = 0 (cacheline granularity):
PTHRESH = 0..3 (for 16 descriptors cacheline - 256 bytes)
WTHRESH = 0..3
HTHRESH = 0..4
Note: For any WTHRESH value other than 0 - The packet and absolute timers must get a non
zero value for the WTHRESH feature to take affect.",partial
TXDCTL,TXDCTL,WTHRESH = 0..31,"Possible values:
GRAN = 1 (descriptor granularity):
PTHRESH = 0..31
WTHRESH = 0..31
HTHRESH = 0..31
GRAN = 0 (cacheline granularity):
PTHRESH = 0..3 (for 16 descriptors cacheline - 256 bytes)
WTHRESH = 0..3
HTHRESH = 0..4
Note: For any WTHRESH value other than 0 - The packet and absolute timers must get a non
zero value for the WTHRESH feature to take affect.",partial
TXDCTL,TXDCTL,HTHRESH = 0..31,"Possible values:
GRAN = 1 (descriptor granularity):
PTHRESH = 0..31
WTHRESH = 0..31
HTHRESH = 0..31
GRAN = 0 (cacheline granularity):
PTHRESH = 0..3 (for 16 descriptors cacheline - 256 bytes)
WTHRESH = 0..3
HTHRESH = 0..4
Note: For any WTHRESH value other than 0 - The packet and absolute timers must get a non
zero value for the WTHRESH feature to take affect.",partial
TXDCTL,TXDCTL,"Since the default value for write-back threshold is 0, descriptors are normally written back as soon as they are processed.",NOT FOUND,none
TDFH,PBA,The initial value equals PBA. RXA times 128..,NOT FOUND,none
TDFT,PBA,The initial value equals PBA. RXA times 128.,NOT FOUND,none
TDFHS,PBA,The initial value equals PBA. RXA times 128.,NOT FOUND,none
TDFTS,PBA,The initial value equals PBA. RXA times 128.,NOT FOUND,none
LSECTXCTRL,LSECTXUT,"The ""Tx Untagged Packet"" register is not incremented for transmitted packets when the ""Enable Tx MACsec"" equals 00b.",NOT FOUND,none
LSECTXCTRL,LSECTXPN0,"In order to guarantee this, the HW clears the ""Enable Tx MACsec"" field in the LSECTXCTRL register to 00b once a packet is transmitted with a PN that equals to 0xFF...F0.",NOT FOUND,none
LSECTXCTRL,LSECTXPN1,"In order to guarantee this, the HW clears the ""Enable Tx MACsec"" field in the LSECTXCTRL register to 00b once a packet is transmitted with a PN that equals to 0xFF...F0.",NOT FOUND,none
LSECRXCTRL,LSECRXUNCH,"Number of packets received with MACsec encapsulation (SecTag) while ValidateFrames is disabled (LSECRXCTRL bits 3:2 equal 00b).""",NOT FOUND,none
LSECRXCTRL,LSECRXDELAY,Number of packets received and accepted for validation having failed replay-protection and ReplayProtect is false (LSECRXCTRL bit 7 is zero).,NOT FOUND,none
LSECRXCTRL,LSECRXLATE,Number of packets received and accepted for validation having failed replay-protection and ReplayProtect is true (LSECRXCTRL bit 7 is '1').,NOT FOUND,none
